row-cell,Tiktoker name,Tiktok name,"
Followers",Views (Avg.),Likes (Avg.),Comments (Avg.),Shares (Avg.)
466,0,0,14800000,3300000,397000,661,351
467,0,0,6000000,1600000,314000,1800,814
468,0,0,127100,1400000,357900,1500,1200
469,0,0,3700000,1600000,201900,323,3800
470,0,0,7600000,2000000,332700,724,1300
471,0,0,3900000,1600000,236500,3000,445
472,0,0,2000000,1500000,278500,818,2300
473,0,0,2400000,2300000,387700,990,481
474,0,0,5000000,1200000,254400,1400,2900
475,0,0,5800000,1600000,306600,947,1700
476,0,0,8199999.999999999,3400000,273400,739,658
477,0,0,16600000.000000002,3000000,274000,809,763
478,0,0,4099999.9999999995,3600000,184700,518,1400
479,0,0,284200,1800000,205100,1400,2100
480,0,0,18800000,1900000,327700,1500,522
481,0,0,3000000,2300000,165000,2100,1200
482,0,0,4700000,1300000,219700,3500,942
483,0,0,2100000,1000000,275700,1700,3000
484,0,0,7200000,1300000,191800,1500,3600
485,0,0,5600000,3200000,303800,653,651
486,0,0,1000000,1400000,323600,2300,542
487,0,0,3900000,1400000,166500,2600,2600
488,0,0,11900000,1100000,247200,3400,1200
489,0,0,3600000,1500000,235900,2600,893
490,0,0,1200000,1500000,326600,1200,1300
491,0,0,1900000,870000,156700,3800,5300
492,0,0,471500,2700000,238300,1400,548
493,0,0,12300000,1800000,338200,1400,712
494,0,0,14000000,1400000,227200,1500,2500
495,0,0,8100000,2400000,240900,1300,793
496,0,0,2500000,1600000,304400,604,1900
497,0,0,636400,980200,197300,874,5500
498,0,0,2600000,2700000,143600,1300,1900
499,0,0,6500000,1600000,219300,753,2700
500,0,0,3800000,1400000,371800,1500,814
501,0,0,7500000,1400000,168800,3600,1700
502,0,0,8400000,1200000,173400,2200,3700
503,0,0,267400,5300000,111100,705,1400
504,0,0,3300000,2000000,137700,1400,3000
505,0,0,26700000,1400000,236700,3200,449
506,0,0,2700000,1600000,243300,1100,2000
507,0,0,3100000,1300000,260600.00000000003,939,2600
508,0,0,2100000,1100000,190900,1400,4200
509,0,0,12200000,2200000,160300,432,3000
510,0,0,9400000,3000000,339400,736,456
511,0,0,6800000,2300000,266600,1200,707
512,0,0,1100000,2200000,234900,1000,1300
513,0,0,17000000,1700000,393900,841,920
514,0,0,17500000,2100000,250900,481,1800
515,0,0,3200000,3900000,138600,896,1300
516,0,0,2900000,2500000,313900,1100,364
517,0,0,2600000,1300000,180200,752,4300
518,0,0,397500,1400000,184000,1800,2600
519,0,0,5200000,2700000,227700,1300,662
520,0,0,8900000,1600000,166300,1000,3400
521,0,0,28400000,2300000,259000,441,1500
522,0,0,17100000,3400000,433500,423,354
523,0,0,4900000,2300000,113800,287,4100
524,0,0,35200000,2800000,162400,896,1600
525,0,0,714900,836900,204300,3700,2900
526,0,0,4000000,1500000,152400,794,4100
527,0,0,1200000,1400000,260100.00000000003,1500,1700
528,0,0,1700000,3500000,269700,780,410
529,0,0,3200000,3900000,310500,582,342
530,0,0,524100,2300000,153900,1500,1700
531,0,0,13700000,2700000,163200,1100,1500
532,0,0,3600000,806600,243400,3200,2300
533,0,0,2100000,2000000,221200,1000,1500
534,0,0,5700000,2400000,107000,866,3400
535,0,0,704200,1600000,78700,939,7700
536,0,0,1300000,4099999.9999999995,311000,444,406
537,0,0,4800000,2200000,174800,1000,1900
538,0,0,6200000,1700000,328100,1500,468
539,0,0,4300000,1500000,263400,1400,1300
540,0,0,3800000,1100000,184400,864,4500
541,0,0,21300000,2500000,303900,1100,324
542,0,0,2400000,2300000,149900,865,2200
543,0,0,3300000,4200000,168800,896,592
544,0,0,5100000,1900000,194200,2100,714
545,0,0,7700000,4000000,216200,597,599
546,0,0,3600000,1500000,284600,1300,1100
547,0,0,26200000,2600000,243100,1100,499
548,0,0,5000000,1100000,199100,989,3700
549,0,0,852000,2500000,325000,863,401
550,0,0,2100000,2300000,288600,463,1100
551,0,0,8500000,1700000,194100,707,2400
552,0,0,11300000,2200000,321100,809,637
553,0,0,1800000,2300000,202100,310,1900
554,0,0,6500000,1200000,196500,1000,3300
555,0,0,1900000,1300000,158700,3600,1300
556,0,0,5800000,2300000,187000,1200,1100
557,0,0,13700000,3000000,190200,1400,348
558,0,0,8900000,3500000,382400,427,319
559,0,0,16200000,3300000,170100,985,793
560,0,0,3000000,3000000,291600,968,188
561,0,0,3400000,1100000,192600,3600,1000
562,0,0,287600,4200000,273800,734,126
563,0,0,4000000,1200000,149400,2100,3400
564,0,0,19200000,1700000,202300,1900,981
565,0,0,35000000,2900000,172100,920,1100
566,0,0,6800000,1100000,214100,1500,2700
567,0,0,1400000,2200000,336900,926,393
568,0,0,5100000,2800000,252700,721,654
569,0,0,3500000,2900000,207400,477,1100
570,0,0,4600000,1600000,142600,1000,3300
571,0,0,23400000,1900000,298000,905,810
572,0,0,14200000,2800000,154600,990,1300
573,0,0,1100000,1400000,124400,1200,4300
574,0,0,549000,1600000,113800,2500,2800
575,0,0,4000000,2200000,179400,2100,310
576,0,0,680400,1200000,68900,855,11200
577,0,0,319800,1500000,162100,1300,2800
578,0,0,2400000,1000000,86200,217,10500
579,0,0,3200000,1400000,249400,1400,1400
580,0,0,5700000,3000000,184200,665,1000
581,0,0,2000000,1400000,109700,4100,2100
582,0,0,244000,3400000,336000,455,373
583,0,0,7800000,1700000,314100,1000,738
584,0,0,5200000,1500000,283500,800,1400
585,0,0,5000000,3800000,401700,308,309
586,0,0,4500000,1600000,178300,2200,1200
587,0,0,150300,1300000,124500,2000,3800
588,0,0,3100000,2000000,223100,1600,461
589,0,0,1300000,2800000,75700,998,3400
590,0,0,13200000,2200000,259800,1000,581
591,0,0,2000000,2500000,169100,1700,544
592,0,0,719400,1400000,282800,2000,318
593,0,0,4700000,1600000,280800,546,1500
594,0,0,3100000,1500000,139600,1200,3100
595,0,0,2700000,1500000,198900,993,2100
596,0,0,4200000,1700000,233100,1700,577
597,0,0,2000000,1200000,208900,2300,1100
598,0,0,8600000,1900000,106000,3400,1100
